city,date,PM2.5,PM10,NO2,CO,SO2,AQI,temperature_2m_max,temperature_2m_min,Humidity
Ahmeda,2015-01-01,313.22,607.98,36.39,15.2,9.25,472.0,28.6,15.6,65.68
Ahmedabad,2015-01-01,135.99,142.06,18.22,0.92,27.64,782.0,29.9,15.3,64.12
Ahmedabad,2015-01-02,152.85,142.06,15.69,0.97,24.55,784.5,26.5,15.8,68.2
Ahmedabad,2015-01-02,186.18,269.55,32.87,9.54,6.65,454.0,28.3,14.8,66.04
Ahmedabad,2015-01-03,133.98,142.06,19.3,17.4,29.07,677.75,30.0,13.8,64.0
Ahmedabad,2015-01-04,102.8266667,142.06,18.48,1.7,18.59,381.6666667,25.7,12.4,69.16
Ahmedabad,2015-01-05,110.4633333,142.06,21.42,22.1,39.33,169.25,29.4,12.4,64.72
Ahmedabad,2015-01-06,121.9033333,142.06,38.48,45.41,45.76,305.3333333,35.7,16.5,57.16
Ahmedabad,2015-01-07,122.8033333,142.06,40.62,112.16,32.28,282.6666667,30.8,18.7,63.04
Ahmedabad,2015-01-08,113.6366667,142.06,36.74,80.87,38.54,379.6666667,35.9,21.1,56.92
Ahmedabad,2015-01-09,118.5,142.06,31.0,29.16,58.68,345.6666667,40.7,22.7,51.16
Ahmedabad,2015-01-10,116.61,142.06,7.04,5.0325,8.29,355.25,41.3,23.4,50.44
Ahmedabad,2015-01-11,79.6175,142.06,55.8,132.07,25.03,379.75,41.4,25.3,50.32
Ahmedabad,2015-01-12,71.6325,142.06,40.67,52.04,51.84,272.75,36.6,27.3,56.08
Ahmedabad,2015-02-01,135.99,142.06,42.08,43.48,75.23,782.0,29.9,16.1,64.12
Ahmedabad,2015-02-02,178.33,142.06,35.31,54.56,55.04,914.0,25.6,11.5,69.28
Ahmedabad,2015-02-03,139.7,142.06,28.4,30.61,33.79,660.0,29.7,13.8,64.36
Ahmedabad,2015-02-04,80.65,142.06,22.83,2.37,25.73,294.0,26.8,13.5,67.84
Ahmedabad,2015-02-05,58.36,142.06,21.39,2.6,32.66,149.0,30.0,12.8,64.0
Ahmedabad,2015-02-06,79.29,142.06,26.94,1.16,67.41,190.0,34.4,18.4,58.72
Ahmedabad,2015-02-07,88.7,142.06,31.32,7.29,80.09,247.0,32.1,16.7,61.48
Ahmedabad,2015-02-08,74.28,142.06,27.3,8.92,54.28,379.0,37.1,20.6,55.48
Ahmedabad,2015-02-09,113.93,142.06,24.27,4.32,48.73,341.0,40.4,24.2,51.52
Ahmedabad,2015-02-10,105.39,142.06,18.21,1.41,35.91,256.0,41.4,23.7,50.32
Ahmedabad,2015-02-11,66.52,142.06,23.8,6.34,66.58,388.0,41.6,24.1,50.08
