city,date,PM2.5,PM10,NO2,CO,SO2,AQI,temperature_2m_max,temperature_2m_min,Humidity,temperature_2m,anomaly,anomaly_label,anomaly_score,severity
Ahmeda,2015-01-01,313.22,607.98,36.39,15.2,9.25,472.0,28.6,15.6,65.68,22.1,-1,Anomaly,-0.07929400257915009,High
Ahmedabad,2015-01-01,135.99,142.06,18.22,0.92,27.64,782.0,29.9,15.3,64.12,22.6,1,Normal,0.14325335324059385,Normal
Ahmedabad,2015-01-02,152.85,142.06,15.69,0.97,24.55,784.5,26.5,15.8,68.2,21.15,1,Normal,0.12629381402354994,Normal
Ahmedabad,2015-01-02,186.18,269.55,32.87,9.54,6.65,454.0,28.3,14.8,66.04,21.55,1,Normal,0.05869472536832804,Normal
Ahmedabad,2015-01-03,133.98,142.06,19.3,17.4,29.07,677.75,30.0,13.8,64.0,21.9,1,Normal,0.0615104725217227,Normal
Ahmedabad,2015-01-04,102.8266667,142.06,18.48,1.7,18.59,381.6666667,25.7,12.4,69.16,19.05,1,Normal,0.12306873977641092,Normal
Ahmedabad,2015-01-05,110.4633333,142.06,21.42,22.1,39.33,169.25,29.4,12.4,64.72,20.9,1,Normal,0.041040128623356154,Normal
Ahmedabad,2015-01-06,121.9033333,142.06,38.48,45.41,45.76,305.3333333,35.7,16.5,57.16,26.1,-1,Anomaly,-0.020076207053656536,Medium
Ahmedabad,2015-01-07,122.8033333,142.06,40.62,112.16,32.28,282.6666667,30.8,18.7,63.04,24.75,-1,Anomaly,-0.05541115162909782,High
Ahmedabad,2015-01-08,113.6366667,142.06,36.74,80.87,38.54,379.6666667,35.9,21.1,56.92,28.5,-1,Anomaly,-0.06081381424655086,High
Ahmedabad,2015-01-09,118.5,142.06,31.0,29.16,58.68,345.6666667,40.7,22.7,51.16,31.700000000000003,-1,Anomaly,-0.04063660715762141,Medium
Ahmedabad,2015-01-10,116.61,142.06,7.04,5.0325,8.29,355.25,41.3,23.4,50.44,32.349999999999994,1,Normal,0.06501013230922659,Normal
Ahmedabad,2015-01-11,79.6175,142.06,55.8,132.07,25.03,379.75,41.4,25.3,50.32,33.35,-1,Anomaly,-0.11092031952086889,High
Ahmedabad,2015-01-12,71.6325,142.06,40.67,52.04,51.84,272.75,36.6,27.3,56.08,31.950000000000003,-1,Anomaly,-0.03929433498598367,Medium
Ahmedabad,2015-02-01,135.99,142.06,42.08,43.48,75.23,782.0,29.9,16.1,64.12,23.0,-1,Anomaly,-0.03602966796556195,Medium
Ahmedabad,2015-02-02,178.33,142.06,35.31,54.56,55.04,914.0,25.6,11.5,69.28,18.55,-1,Anomaly,-0.07485566312349223,High
Ahmedabad,2015-02-03,139.7,142.06,28.4,30.61,33.79,660.0,29.7,13.8,64.36,21.75,1,Normal,0.018506202338055888,Normal
Ahmedabad,2015-02-04,80.65,142.06,22.83,2.37,25.73,294.0,26.8,13.5,67.84,20.15,1,Normal,0.13065169088330075,Normal
Ahmedabad,2015-02-05,58.36,142.06,21.39,2.6,32.66,149.0,30.0,12.8,64.0,21.4,1,Normal,0.140547426271396,Normal
Ahmedabad,2015-02-06,79.29,142.06,26.94,1.16,67.41,190.0,34.4,18.4,58.72,26.4,1,Normal,0.1343627829621309,Normal
Ahmedabad,2015-02-07,88.7,142.06,31.32,7.29,80.09,247.0,32.1,16.7,61.48,24.4,1,Normal,0.07270577031444098,Normal
Ahmedabad,2015-02-08,74.28,142.06,27.3,8.92,54.28,379.0,37.1,20.6,55.48,28.85,1,Normal,0.088692327975876,Normal
Ahmedabad,2015-02-09,113.93,142.06,24.27,4.32,48.73,341.0,40.4,24.2,51.52,32.3,1,Normal,0.03864069422212524,Normal
Ahmedabad,2015-02-10,105.39,142.06,18.21,1.41,35.91,256.0,41.4,23.7,50.32,32.55,1,Normal,0.054992723553381695,Normal
Ahmedabad,2015-02-11,66.52,142.06,23.8,6.34,66.58,388.0,41.6,24.1,50.08,32.85,1,Normal,0.012967416631362472,Normal
Ahmedabad,2015-02-12,65.04,142.06,30.1,14.19,65.91,288.0,37.1,26.8,55.48,31.950000000000003,1,Normal,0.054526514571043294,Normal
Ahmedabad,2015-03-01,61.12,142.06,16.81,3.58,28.44,553.0,29.1,15.1,65.08,22.1,1,Normal,0.14998056766454826,Normal
Ahmedabad,2015-03-02,60.78,142.06,18.21,9.07,29.48,189.0,24.9,10.9,70.12,17.9,1,Normal,0.0499310886051435,Normal
